Timestamp,BuyOrderID,SellOrderID,Symbol,Price,Quantity
88035479350909,2,1,GOOGL,109.60,50
88035479356023,5,4,GOOGL,110.43,80
88035479358986,8,7,GOOGL,110.68,110
88035479360838,8,10,GOOGL,110.64,10
88035479361733,9,10,GOOGL,110.64,130
88035479364956,11,13,GOOGL,111.03,50
88035479366916,15,13,GOOGL,111.03,20
88035479368157,15,16,GOOGL,110.88,70
88035479368534,14,16,GOOGL,110.88,30
88035479371561,17,19,GOOGL,111.01,110
88035479372699,20,19,GOOGL,111.01,20
88035479378528,26,25,GOOGL,111.11,90
88035479380624,26,28,GOOGL,111.09,10
88035479381025,20,28,GOOGL,111.09,110
88035479383825,20,31,GOOGL,110.54,10
88035479384321,27,31,GOOGL,110.54,40
88035479387158,27,34,GOOGL,110.40,70
88035479387539,29,34,GOOGL,110.40,10
88035479390477,29,37,GOOGL,110.16,110
88035479393297,29,40,GOOGL,110.41,10
88035479393676,18,40,GOOGL,110.41,120
88035479394141,14,40,GOOGL,110.41,10
88035479578444,14,43,GOOGL,109.85,40
88035479579498,21,43,GOOGL,109.85,30
88035479583785,21,46,GOOGL,110.35,20
88035479584609,23,46,GOOGL,110.35,70
88035479585350,30,46,GOOGL,110.35,10
88035479591190,30,49,GOOGL,109.72,130
88035479594496,12,52,GOOGL,109.46,60
88035479597788,24,55,GOOGL,109.57,80
88035479598181,5,55,GOOGL,109.57,10
88035479601861,6,58,GOOGL,109.59,100
88035479602476,41,58,GOOGL,109.59,20
88035479605866,41,61,GOOGL,109.53,30
88035479606535,45,61,GOOGL,109.53,20
88035479609844,45,64,GOOGL,109.25,70
88035479610384,38,64,GOOGL,109.25,10
88035479613193,38,67,GOOGL,108.75,110
88035479616234,32,70,GOOGL,108.74,60
88035479616712,35,70,GOOGL,108.74,80
88035479619784,35,73,GOOGL,108.84,10
88035479620516,39,73,GOOGL,108.84,60
88035479633116,39,76,GOOGL,109.11,70
88035479633652,3,76,GOOGL,109.11,30
88035479636206,3,79,GOOGL,109.42,40
88035479636842,44,79,GOOGL,109.42,80
88035479637421,36,79,GOOGL,109.42,10
88035479640213,36,82,GOOGL,108.86,60
88035479642396,36,85,GOOGL,108.83,30
88035479642764,47,85,GOOGL,108.83,60
88035479645131,47,88,GOOGL,109.07,50
88035479645577,42,88,GOOGL,109.07,60
88035479646112,33,88,GOOGL,109.07,10
88035479648871,33,91,GOOGL,108.90,50
88035479653943,33,94,GOOGL,108.75,10
88035479654350,54,94,GOOGL,108.75,70
88035479656854,54,97,GOOGL,108.36,10
88035479657203,78,97,GOOGL,108.36,100
88035479695238,78,100,GOOGL,108.20,20
88035479695723,48,100,GOOGL,108.20,120
88035479698916,2,103,GOOGL,108.33,10
88035479699358,59,103,GOOGL,108.33,60
88035479702359,59,106,GOOGL,107.64,70
88035479702775,57,106,GOOGL,107.64,30
88035479705707,57,109,GOOGL,106.86,80
88035479937618,60,109,GOOGL,106.86,50
88035479943510,60,112,GOOGL,106.71,60
88035479946437,60,115,GOOGL,107.50,30
88035479946938,50,115,GOOGL,107.50,60
88035479960192,50,118,GOOGL,107.11,80
88035479960857,77,118,GOOGL,107.11,40
88035479964471,77,121,GOOGL,107.06,50
88035479967606,77,124,GOOGL,107.04,20
88035479968172,53,124,GOOGL,107.04,60
88035479971714,53,127,GOOGL,107.09,10
88035479972420,75,127,GOOGL,107.09,90
88035479973087,63,127,GOOGL,107.09,10
88035479976721,63,130,GOOGL,107.11,60
88035479977439,62,130,GOOGL,107.11,60
88035479978087,51,130,GOOGL,107.11,20
88035479981248,51,133,GOOGL,107.11,30
88035479981768,66,133,GOOGL,107.11,40
88035479985268,66,136,GOOGL,106.85,60
88035479985664,56,136,GOOGL,106.85,40
88035479988639,56,139,GOOGL,107.41,60
88035479989097,80,139,GOOGL,107.41,70
88035479992174,80,142,GOOGL,107.29,60
88035479994843,80,145,GOOGL,106.92,10
88035479995204,65,145,GOOGL,106.92,80
88035479998576,65,148,GOOGL,107.46,10
88035479999212,74,148,GOOGL,107.46,80
88035479999978,96,148,GOOGL,107.46,30
88035480003226,96,151,GOOGL,107.55,50
88035480006192,96,154,GOOGL,107.52,20
88035480006689,89,154,GOOGL,107.52,60
88035480009940,89,157,GOOGL,108.69,70
88035480010449,68,157,GOOGL,108.69,40
88035480013857,158,160,GOOGL,108.57,120
88035480014330,159,160,GOOGL,108.57,20
88035480017662,159,163,GOOGL,108.48,70
88035480020531,159,166,GOOGL,108.30,40
88035480020955,68,166,GOOGL,108.30,60
88035480024147,68,169,GOOGL,108.35,20
88035480024666,162,169,GOOGL,108.35,60
88035480025257,86,169,GOOGL,108.35,50
88035480028733,86,172,GOOGL,107.21,50
88035480029238,87,172,GOOGL,107.21,10
88035480031998,87,175,GOOGL,107.85,90
88035480034485,87,178,GOOGL,107.62,10
88035480034885,71,178,GOOGL,107.62,50
88035480035441,90,178,GOOGL,107.62,60
88035480038455,90,181,GOOGL,107.91,50
88035480041210,90,184,GOOGL,107.72,30
88035480041566,81,184,GOOGL,107.72,50
88035480044635,168,187,GOOGL,108.01,110
88035480047436,168,190,GOOGL,108.45,10
88035480047793,72,190,GOOGL,108.45,60
88035480048344,95,190,GOOGL,108.45,70
88035480051431,95,193,GOOGL,108.05,20
88035480051970,92,193,GOOGL,108.05,50
88035480054806,92,196,GOOGL,107.21,10
88035480055188,191,196,GOOGL,107.21,50
88035480055656,83,196,GOOGL,107.21,40
88035480076253,83,199,GOOGL,108.09,30
88035480076811,84,199,GOOGL,108.09,80
88035480077520,69,199,GOOGL,108.09,20
88035480081311,69,202,GOOGL,108.15,60
88035480084849,206,205,GOOGL,108.57,90
88035480086930,207,208,GOOGL,109.04,110
88035480087312,206,208,GOOGL,109.04,10
88035480093921,209,211,GOOGL,108.58,50
88035480096055,209,214,GOOGL,107.94,80
88035480098738,210,217,GOOGL,107.77,110
88035480100933,210,220,GOOGL,107.27,30
88035480101313,69,220,GOOGL,107.27,50
88035480101769,101,220,GOOGL,107.27,50
88035480102368,161,220,GOOGL,107.27,10
88035480105766,161,223,GOOGL,106.83,40
88035480106724,93,223,GOOGL,106.83,30
88035480109293,93,226,GOOGL,106.35,40
88035480109706,165,226,GOOGL,106.35,60
88035480115265,165,229,GOOGL,106.76,30
88035480115609,102,229,GOOGL,106.76,60
88035480116131,156,229,GOOGL,106.76,40
88035480119223,156,232,GOOGL,107.24,60
88035480122426,99,235,GOOGL,106.54,90
88035480125186,99,238,GOOGL,106.96,40
88035480125722,98,238,GOOGL,106.96,80
88035480128081,98,241,GOOGL,106.78,40
88035480128547,167,241,GOOGL,106.78,10
88035480130873,167,244,GOOGL,106.38,80
88035480530250,167,247,GOOGL,106.72,20
88035480531992,192,247,GOOGL,106.72,60
88035480532664,164,247,GOOGL,106.72,30
88035480550963,164,250,GOOGL,106.23,50
88035480551480,204,250,GOOGL,106.23,80
88035480552252,201,250,GOOGL,106.23,10
88035480555382,201,253,GOOGL,106.36,40
88035480555934,186,253,GOOGL,106.36,30
88035480558222,186,256,GOOGL,106.31,70
88035480558833,189,256,GOOGL,106.31,30
88035480561365,189,259,GOOGL,106.50,100
88035480561766,212,259,GOOGL,106.50,30
88035480564591,212,262,GOOGL,105.95,30
88035480565319,170,262,GOOGL,105.95,30
88035480567909,170,265,GOOGL,106.10,90
88035480570133,170,268,GOOGL,106.26,20
88035480571320,105,268,GOOGL,106.26,90
88035480572006,215,268,GOOGL,106.26,10
88035480577265,215,271,GOOGL,105.83,50
88035480579666,215,274,GOOGL,105.75,30
88035480580131,155,274,GOOGL,105.75,50
88035480582626,155,277,GOOGL,106.94,40
88035480583158,185,277,GOOGL,106.94,70
88035480585672,185,280,GOOGL,106.80,20
88035480586228,183,280,GOOGL,106.80,70
88035480586690,150,280,GOOGL,106.80,50
88035480589398,150,283,GOOGL,106.88,70
88035480591919,150,286,GOOGL,106.40,20
88035480592362,203,286,GOOGL,106.40,70
88035480593005,104,286,GOOGL,106.40,10
88035480595575,104,289,GOOGL,106.21,70
88035480596068,216,289,GOOGL,106.21,60
